lexeme,stem,class
desplazar,desplaz,ar-regular
desplegar,despleg,ar-ie
despoblar,despobl,ar-ue
despojar,despoj,ar-regular
despreciar,desprezi,ar-regular
desprestigiar,desprestiji,ar-regular
desquiciar,descizi,ar-regular
desquitar,descit,ar-regular
destacar,destac,ar-regular
destapar,destap,ar-regular
destemplar,destempl,ar-regular
desterrar,desteR,ar-ie
destinar,destin,ar-regular
destrabar,destrab,ar-regular
destronar,destron,ar-regular
destrozar,destroz,ar-regular
desusar,desus,ar-regular
desvalorizar,desbaloriz,ar-regular
desvariar,desbari,ar-regular
desvelar,desbel,ar-regular
desviar,desbi,ar-regular
desvincular,desbincul,ar-regular
desvirtuar,desbirtu,ar-regular
detallar,detaL,ar-regular
detectar,detect,ar-regular
detentar,detent,ar-regular
deteriorar,deterior,ar-regular
determinar,determin,ar-regular
detestar,detest,ar-regular
